Model,Train Loss,Val Loss,Test Loss,Train Acc,Val Acc,Test Acc,AUC-ROC,Precision,Recall,F1-Score
CNN,0.6501021678485568,0.9267658527408328,0.8980084768048039,0.7123899293067096,0.6020821283979179,0.5873842592592593,0.7462757520668095,0.5539994571565314,0.5525766294987616,0.5525360742630938
RNN,0.541453286059319,0.807031376021249,0.8007568010577449,0.7683244449956592,0.6709080393290919,0.6417824074074074,0.8205317017656508,0.6351936244903117,0.6338004690252296,0.6342593512199748
LSTM,0.38019626599455636,0.8798547387123108,0.7999480212176288,0.8369093389557237,0.6940427993059572,0.6678240740740741,0.834381942047755,0.6502399262853514,0.6488157847774649,0.647796789409429
GRU,0.4605047728807207,0.8684426482234683,0.855759463928364,0.7985861341932283,0.686524002313476,0.6666666666666666,0.8130860441383222,0.6219392974362236,0.6205330805551882,0.6179920360579465
CNN_SE,0.4334532296846783,0.8993900822741645,0.9165383224134092,0.8242589606846087,0.6107576633892423,0.5862268518518519,0.7726183007162467,0.5840276211041996,0.5843486448865963,0.5840822679040913
CNN1D_LSTM,0.655234380373879,0.9413958553756986,0.9556269535311946,0.701103807515813,0.5615962984384038,0.5497685185185185,0.727409077290423,0.5357223041392508,0.5331538622499075,0.5259076993299314
CNN1D_GRU,0.5484139394192469,0.9494166140045438,0.9467129089214184,0.7586506263177477,0.5882012724117988,0.5920138888888888,0.7654600282710525,0.572556017199033,0.5697351008208291,0.5663591049502745
CNN1D_RNN,0.5390389277821496,0.9590103072779519,0.9496591201534977,0.7737814709165323,0.589358010410642,0.5758101851851852,0.7494799191962782,0.5815456964995623,0.5690794312631698,0.5680502011874133
CNN_RNN_Attention,0.7360197580049909,0.9348375456673759,0.9445433130970707,0.6474017115217661,0.5575477154424523,0.5555555555555556,0.734847778454125,0.5547649657791524,0.5459012079744087,0.5352810165657376
CNN_LSTM_Attention,0.6257653673962941,0.9034998204026904,0.8713413167882849,0.6935383852164206,0.6130711393869288,0.6041666666666666,0.7831374240968406,0.5907663215783937,0.5906971764009348,0.5867736435863589
CNN_GRU_Attention,0.7287005252308316,0.9314816615411213,0.8998000710098831,0.6474017115217661,0.5714285714285714,0.5694444444444444,0.7511326859809757,0.5548486677680349,0.5491466288199277,0.5504111626431617
ResNet1D,0.35528085558187394,0.871158670101847,0.8770830211816011,0.8598536524866675,0.633314054366686,0.625,0.7990718414739953,0.6111163548138338,0.6067905433540413,0.6073313845007621
